address,bedrooms,full_bathrooms,half_bathrooms,type,surface,lot_surface,price
1901 Ski Slope Cir Las Vegas NV 89117,5,3,0,Single Family Home,3583,20038,554800
3832 Canary Cedar St Las Vegas NV 89032,5,4,1,Single Family Home,3210,7840,215000
2777 Paradise Rd Unit: 2201 Las Vegas NV 89109,3,3,0,Condo/Townhome/Row Home/Co-Op,2805,,895000
8375 Gilespie St Las Vegas NV 89123,4,2,1,Single Family Home,2959,96268,549000
3685 Willow Bend Ct Las Vegas NV 89121,3,2,1,Single Family Home,2172,12197,274900
880 Mantis Way Unit 4 Las Vegas NV 89110,2,2,0,Condo/Townhome/Row Home/Co-Op,1022,4225,53000
2941 Country Manor Ln Apt 28 Las Vegas NV 89115,1,1,1,Condo/Townhome/Row Home/Co-Op,862,2657,40000
12 Golden Sunray Ln Las Vegas NV 89135,5,5,1,Single Family Home,8149,30056,2975000
6357 Violet Blossom Dr Las Vegas NV 89108,2,2,0,Single Family Home,1033,4617,49995
3400 Beam Dr Las Vegas NV 89139,4,3,0,Single Family Home,3101,21344,284900
8057 Loma Del Ray St Las Vegas NV 89131,3,2,1,Single Family Home,2066,5227,205000
5973 Alington Bend Dr Las Vegas NV 89139,3,3,0,Single Family Home,1615,3049,134900
9113 Golden Eagle Dr Las Vegas NV 89134,4,3,1,Single Family Home,4490,15246,1080000
6286 Judson Ave Las Vegas NV 89156,2,2,0,Mfd/Mobile Home,1440,7840,73500
480 King Richard Unit 21 Las Vegas NV 89119,2,2,0,Condo/Townhome/Row Home/Co-Op,862,,25000
2060 Rancho Lake Dr Unit: 105 Las Vegas NV 89108,1,1,0,Condo/Townhome/Row Home/Co-Op,730,1001,43000
1824 N Decatur Bl Unit: 203 Las Vegas NV 89108,2,2,0,Condo/Townhome/Row Home/Co-Op,945,,61900
5705 Cabrillo Cir Las Vegas NV 89108,4,2,0,Single Family Home,2132,6534,177500
5870 Sierra Medina Ave Las Vegas NV 89139,4,3,0,Single Family Home,1661,5227,124900
5882 Whispering Pine Ave Las Vegas NV 89142,3,2,0,Single Family Home,1152,3920,116000
1830 N Pecos Rd Unit 151 Las Vegas NV 89115,2,2,0,Condo/Townhome/Row Home/Co-Op,928,,42500
11360 Lago Augustine Way Las Vegas NV 89141,5,4,2,Single Family Home,5969,11761,1195000
Las Vegas NV 89141,3,2,0,Single Family Home,2185,7405,274900
4429 Cinema Ave Las Vegas NV 89031,4,2,0,Single Family Home,1795,6098,116000
4508 Silverado Sage Ave North Las Vegas NV 89115,4,2,1,Single Family Home,2229,5662,189999
Las Vegas NV 89148,4,2,1,Single Family Home,1662,3484,199500
4614 E Utah Ave Las Vegas NV 89104,3,2,0,Single Family Home,1454,10890,168000
346 Cart Crossing Way Las Vegas NV 89148,5,3,0,Single Family Home,2251,4791,315000
4655 Gold Dust Ave Unit 211 Las Vegas NV 89120,2,2,0,Condo/Townhome/Row Home/Co-Op,884,,70000
3370 Red Rock St Las Vegas NV 89146,4,4,2,Single Family Home,4097,20038,588000
7861 Cape Flattery Ave Las Vegas NV 89147,5,4,0,Single Family Home,3268,6969,424900
6298 Rock Dove Ave Las Vegas NV 89122,3,3,0,Single Family Home,2240,7405,190000
62 E Serene Ave Unit 201 Las Vegas NV 89123,2,2,0,Condo/Townhome/Row Home/Co-Op,1279,,159500
200 Mission Laguna Ln Apt 112 Las Vegas NV 89107,2,2,0,Condo/Townhome/Row Home/Co-Op,876,871,74000
6203 Bunker Commons Ct Las Vegas NV 89108,5,3,1,Single Family Home,3181,7405,262800
4151 Lady Barron Ct Las Vegas NV 89115,3,2,0,Mfd/Mobile Home,1188,6969,34900
120 Pecos St Las Vegas NV 89101,4,3,0,Single Family Home,1352,7405,128000
7485 Campbell Ranch Ave Las Vegas NV 89179,3,2,0,Single Family Home,1950,6098,324232
231 Mission Newport Ln Apt 202 Las Vegas NV 89107,2,2,0,Condo/Townhome/Row Home/Co-Op,876,,52900
1404 Sunblush Ln Las Vegas NV 89117,5,3,0,Single Family Home,2960,8276,387000
6233 Grace Mountain St North Las Vegas NV 89115,3,2,1,Single Family Home,1810,4791,40000
3217 Tularosa Ln Las Vegas NV 89122,2,2,0,Mfd/Mobile Home,1440,5227,60000
Las Vegas NV 89131,4,3,1,Single Family Home,2612,5227,309900
3312 Coral Harbor Dr Las Vegas NV 89117,4,2,1,Single Family Home,2034,4791,229900
2324 Spring Water Dr Las Vegas NV 89134,2,2,0,Condo/Townhome/Row Home/Co-Op,1799,3049,269500
7521 Wandering St Las Vegas NV 89131,5,2,1,Single Family Home,2212,3920,239900
2556 Sturrock Dr Henderson NV 89044,4,3,1,Single Family Home,3022,6098,369900
2521 Vegas Valley Dr Las Vegas NV 89121,4,2,0,Single Family Home,1357,6969,250000
2517 Jade Sky St Henderson NV 89044,3,2,0,Single Family Home,1425,6098,249900
3783 Lodina Ct Las Vegas NV 89141,3,2,1,Single Family Home,1748,2613,188800
5481 S Sandhill Rd Las Vegas NV 89120,4,3,0,Single Family Home,1908,9147,172500
10678 Verona Wood St Las Vegas NV 89141,3,2,1,Single Family Home,2179,3049,259900
7293 Iron Oak Ave Las Vegas NV 89113,5,4,1,Single Family Home,4413,11326,572499
4765 Cortina Rancho St Las Vegas NV 89147,3,3,0,Single Family Home,1693,2178,180000
3035 Casey Dr Unit: 101 Las Vegas NV 89120,2,2,0,Condo/Townhome/Row Home/Co-Op,987,,77000
Las Vegas NV 89110,5,3,1,Single Family Home,3342,23958,420000
7308 Queen Palm Dr Las Vegas NV 89128,4,2,1,Single Family Home,1858,4791,188000
1520 Teton St Las Vegas NV 89101,3,2,0,Single Family Home,1161,6534,78500
6531 Ozzie Harriet Av Unit: 101 Las Vegas NV 89122,2,2,0,Condo/Townhome/Row Home/Co-Op,1068,871,89900
3013 Windy Surf Ct Las Vegas NV 89128,4,3,1,Single Family Home,2542,8276,359000
2831 Geary Pl Unit 2921 Las Vegas NV 89109,2,1,0,Condo/Townhome/Row Home/Co-Op,1112,,127900
8116 Otter Falls Ct Las Vegas NV 89085,3,2,0,Single Family Home,1947,6098,239500
2725 S Nellis Blvd Unit 1001 Las Vegas NV 89121,2,2,0,Condo/Townhome/Row Home/Co-Op,1008,,56500
1468 Santa Anita Dr Las Vegas NV 89119,5,3,1,Single Family Home,4472,25700,359000
10035 Oak Creek Canyon Ave Las Vegas NV 89147,2,2,0,Condo/Townhome/Row Home/Co-Op,1249,2613,175000
10712 Cape Shore Ave Las Vegas NV 89166,3,2,1,Single Family Home,1513,3920,176900
3720 Bach Way North Las Vegas NV 89032,3,2,0,Single Family Home,1238,6098,140000
9101 Alta Dr Unit 601 Las Vegas NV 89145,4,5,1,Condo/Townhome/Row Home/Co-Op,4792,,2325000
313 Spry Ave Las Vegas NV 89183,6,4,1,Single Family Home,6050,10019,756000
7339 Crow Canyon Ave Las Vegas NV 89179,4,2,1,Single Family Home,3012,6534,223300
12289 White Landing Ct Las Vegas NV 89138,4,3,0,Single Family Home,3245,8712,619690
8128 Cathedral Range Ct Las Vegas NV 89139,3,2,1,Single Family Home,1952,2613,204500
8541 Highland View Ave Las Vegas NV 89145,4,2,1,Single Family Home,2453,6969,349900
4263 Cloverdale Ave Las Vegas NV 89121,4,1,1,Single Family Home,1134,6969,107000
4300 Plan Las Vegas NV 89131,4,3,1,Single Family Home; Ready to build,4300,174240,479990
2225 Lipari Ct Las Vegas NV 89123,5,3,0,Single Family Home,2436,6098,299900
2891 Mammoth Ct Las Vegas NV 89142,3,2,0,Mfd/Mobile Home,1512,5227,60000
8990 Mcleod Dr Las Vegas NV 89074,3,2,0,Single Family Home,1673,6969,230000
7326 Caballo Range Ave Las Vegas NV 89179,4,2,1,Single Family Home,2802,4791,305000
4057 Dream Day St Las Vegas NV 89129,6,3,0,Single Family Home,3723,6098,379000
6668 Escalon Dr Las Vegas NV 89108,2,1,0,Single Family Home,896,3920,60000
4212 Via Vaquero Ave Las Vegas NV 89102,4,2,0,Single Family Home,1680,6098,148500
2041 Via Firenze Henderson NV 89044,3,2,1,Condo/Townhome/Row Home/Co-Op,1696,2178,205000
5203 Timberwood St Las Vegas NV 89122,4,2,0,Single Family Home,1390,6969,160000
2432 Cycad Tree St Las Vegas NV 89108,3,2,0,Single Family Home,1221,3484,134500
4909 Braeburn Dr Las Vegas NV 89130,3,2,0,Single Family Home,1712,6969,189000
6221 Spanish Moss Ave Las Vegas NV 89108,3,2,0,Single Family Home,1746,4791,75000
Portola Las Vegas NV 89179,3,2,1,Single Family Home; Ready to build,2047,87120,262990
10132 Sunset Palisades Way Unit 102 Las Vegas NV 89183,3,2,1,Condo/Townhome/Row Home/Co-Op,1423,871,174900
2017 White Falls St Las Vegas NV 89128,4,2,1,Single Family Home,2347,8276,300000
Plan 2673 Las Vegas NV 89118,5,2,0,Single Family Home; Ready to build,2673,87120,290500
7103 S Durango Dr Unit 308 Las Vegas NV 89113,2,2,0,Condo/Townhome/Row Home/Co-Op,943,958,115000
5208 Silverheart Ave Las Vegas NV 89142,4,3,0,Single Family Home,1636,3920,145000
10245 S Maryland Pw Unit 267 Las Vegas NV 89183,3,2,0,Condo/Townhome/Row Home/Co-Op,1188,,120000
4902 Perrone Ave Las Vegas NV 89141,3,2,0,Single Family Home,1405,4356,180000
7559 Orchard Pine St Las Vegas NV 89139,4,3,0,Single Family Home,1558,2613,188888
Las Vegas NV 89113,4,3,1,Single Family Home,3302,6969,449000
5657 Coaldale Pl Las Vegas NV 89110,3,2,0,Single Family Home,2409,13939,129900
9844 Villa Ridge Dr Las Vegas NV 89134,2,2,0,Single Family Home,1843,7840,249700
2451 N Rainbow Bl Unit: #1020 Las Vegas NV 89108,1,1,0,Condo/Townhome/Row Home/Co-Op,720,,30500
2329 Canosa Ave Las Vegas NV 89104,5,2,1,Single Family Home,1521,6098,109000
Las Vegas NV 89119,2,1,0,Condo/Townhome/Row Home/Co-Op,980,,65000
145 E Harmon Ave Unit 3621 And 3619 Las Vegas NV 89109,2,3,0,Condo/Townhome/Row Home/Co-Op,1394,,600888
4075 Plan Las Vegas NV 89131,5,4,0,Single Family Home; Ready to build,4075,130680,464990
5243 S Sandhill Rd Las Vegas NV 89120,2,2,0,Condo/Townhome/Row Home/Co-Op,1656,4791,95000
5783 Sol Vista Ave Las Vegas NV 89122,3,2,1,Single Family Home,1731,2178,95000
1300 Casa Del Rey Ct Las Vegas NV 89117,6,5,1,Single Family Home,4890,22216,599000
4424 Warbonnet Way Las Vegas NV 89147,4,3,0,Single Family Home,1748,4356,219900
9462 Kaufman Rd Las Vegas NV 89148,2,2,0,Single Family Home,975,3484,131500
Las Vegas NV 89131,3,2,1,Single Family Home,2036,4356,199900
5553 High Wager Way Unit 101 Las Vegas NV 89122,2,2,0,Condo/Townhome/Row Home/Co-Op,1218,1306,125000
6189 Glacier Ave Las Vegas NV 89156,3,2,0,Mfd/Mobile Home,2128,6098,59000
10260 Cherry Brook St Las Vegas NV 89183,3,2,1,Single Family Home,1605,2613,194900
913 Golden Hawk Way Las Vegas NV 89108,4,3,0,Single Family Home,1663,4007,83700
1709 Robin St Las Vegas NV 89106,4,2,1,Single Family Home,1435,3920,122000
8893 Skyline Peak Ct Las Vegas NV 89148,5,4,0,Single Family Home,3141,3484,278000
1165 Jewel Weed Ct Las Vegas NV 89123,3,2,0,Single Family Home,1809,8276,285999
Las Vegas NV 89103,3,2,1,Condo/Townhome/Row Home/Co-Op,1362,1742,99900
Las Vegas NV 89178,4,2,1,Single Family Home,1875,2613,190000
1900 N Torrey Pines Dr Unit 212 Las Vegas NV 89108,2,2,0,Condo/Townhome/Row Home/Co-Op,1022,3571,94900
9050 W Warm Springs Rd Unit 2061 Las Vegas NV 89148,2,2,0,Condo/Townhome/Row Home/Co-Op,972,958,107000
2513 Starlight Valley St Henderson NV 89044,2,2,0,Single Family Home,1142,4356,229000
11007 Turlington Ln Las Vegas NV 89135,5,4,0,Single Family Home,3723,5662,498000
778 Oakmont Av Unit: 310 Las Vegas NV 89109,1,1,0,Condo/Townhome/Row Home/Co-Op,1099,,94900
2104 Waterbury Ln Las Vegas NV 89134,5,3,0,Single Family Home,3027,7405,345000
2700 Las Vegas Blvd S Unit 1702 Las Vegas NV 89109,2,2,1,Condo/Townhome/Row Home/Co-Op,1780,,419750
1 Hughes Center Dr Unit 703 Las Vegas NV 89169,2,2,2,Condo/Townhome/Row Home/Co-Op,4903,,3999900
9101 Alta Dr Unit 1103 Las Vegas NV 89145,2,2,1,Condo/Townhome/Row Home/Co-Op,2638,,1350000
7416 Hickory Hills Dr Las Vegas NV 89130,3,2,1,Single Family Home,1261,4791,164000
3744 Avila Cir Las Vegas NV 89103,4,2,0,Single Family Home,1562,7405,180000
2000 N Fashion Show Dr Unit 5206 Las Vegas NV 89109,1,2,0,Condo/Townhome/Row Home/Co-Op,910,,728888
1904 Plaza Del Padre Las Vegas NV 89102,4,2,1,Single Family Home,2366,5662,299900
5400 Comchec Way Unit 104 Las Vegas NV 89108,2,2,0,Condo/Townhome/Row Home/Co-Op,1041,6403,90000
716 Proud Eagle Ln Las Vegas NV 89144,4,4,1,Single Family Home,3268,7405,599000
5263 Corinne Ct Unit: 78 Las Vegas NV 89103,3,2,1,Condo/Townhome/Row Home/Co-Op,1213,,75000
1608 Duneville St Las Vegas NV 89146,3,3,0,Single Family Home,2417,20038,325000
8250 N Grand Canyon Dr Unit 1118 Las Vegas NV 89166,2,2,0,Condo/Townhome/Row Home/Co-Op,1094,,77880
8708 Deering Bay Dr Las Vegas NV 89131,2,2,0,Condo/Townhome/Row Home/Co-Op,1493,5662,160000
7456 Calzado Dr Las Vegas NV 89178,4,3,0,Single Family Home,1795,3920,205000
8905 Barium Rock Ave Las Vegas NV 89143,5,4,2,Single Family Home,4964,9147,524900
4730 Tierra Verde St Las Vegas NV 89122,3,2,0,Condo/Townhome/Row Home/Co-Op,1315,4356,45000
3871 Trellis View Ave Las Vegas NV 89115,4,2,1,Single Family Home,1670,4791,75000
11603 Pride Hill St Las Vegas NV 89183,3,2,1,Single Family Home,1886,3049,199900
5740 Jackie Dr Las Vegas NV 89156,4,2,0,Single Family Home,1579,6969,160000
10439 Val Piora St Las Vegas NV 89178,4,3,0,Single Family Home,3164,4791,285000
2424 Sunup Dr Las Vegas NV 89134,2,2,0,Condo/Townhome/Row Home/Co-Op,1179,2787,199999
10106 Quilt Tree St Las Vegas NV 89183,3,2,1,Condo/Townhome/Row Home/Co-Op,1510,2178,159900
5633 Desert Creek Way Las Vegas NV 89149,3,2,1,Single Family Home,1651,5227,100000
778 Oakmont Ave Unit 303 Las Vegas NV 89109,2,2,0,Condo/Townhome/Row Home/Co-Op,1194,,139900
720 Peachy Canyon Cr Unit: 104 Las Vegas NV 89144,3,3,0,Condo/Townhome/Row Home/Co-Op,1707,2003,207000
8649 Toscana Ln Las Vegas NV 89117,4,3,0,Single Family Home,1895,4356,180000
5805 Grand Heritage St North Las Vegas NV 89130,4,2,1,Single Family Home,2379,6534,135000
2367 Mohigan Way Las Vegas NV 89169,5,2,1,Single Family Home,2296,9583,285000
1350 Pecan Tree Ct Las Vegas NV 89142,3,2,0,Single Family Home,975,3484,99900
6248 Novak St North Las Vegas NV 89115,3,2,0,Single Family Home,1501,4791,125000
1002 Azure Heights Pl Las Vegas NV 89110,5,3,0,Single Family Home,3168,8276,299000
3732 Stowe Creek Ave North Las Vegas NV 89081,4,3,0,Single Family Home,2001,3484,179000
4019 Syracuse Dr Las Vegas NV 89121,4,3,0,Single Family Home,1778,8276,165000
375 Tierra St Las Vegas NV 89014,3,2,0,Single Family Home,1160,4791,155000
1989 Catalpa Trl Las Vegas NV 89108,5,2,1,Single Family Home,2758,20473,233000
873 Mantis Way Las Vegas NV 89110,2,2,0,Condo/Townhome/Row Home/Co-Op,1022,4225,53000
7209 Blizzard Ln Las Vegas NV 89145,4,2,0,Single Family Home,1896,6969,160000
11153 Prado Del Rey Ln Las Vegas NV 89141,4,3,1,Single Family Home,3004,5227,375000
812 Alhambra Dr Las Vegas NV 89104,5,2,0,Single Family Home,2571,8712,260000
717 Marie Fenlon Dr Las Vegas NV 89107,3,2,0,Single Family Home,1325,3484,148220
4385 Vegas Valley Dr Las Vegas NV 89121,4,2,0,Single Family Home,1702,7840,65000
5324 Vista Hermosa Ave Las Vegas NV 89108,4,2,1,Single Family Home,1749,4356,147000
Las Vegas NV 89121,4,2,0,Single Family Home,1840,8276,120000
1818 N Decatur Bl Unit: 202 Las Vegas NV 89108,2,2,0,Condo/Townhome/Row Home/Co-Op,945,,39500
9929 Woodhouse Dr Las Vegas NV 89134,2,2,0,Single Family Home,1384,7405,190000
44 E Serene Ave Unit 406 Las Vegas NV 89123,2,2,0,Condo/Townhome/Row Home/Co-Op,1395,1393,199900
3150 Soft Breezes Dr Apt 2037 Las Vegas NV 89128,2,2,0,Condo/Townhome/Row Home/Co-Op,981,,74900
7922 Lookout Rock Cir Las Vegas NV 89129,4,4,1,Single Family Home,4708,16988,375000
North Las Vegas NV 89110,4,2,1,Single Family Home,1486,3484,120000
4189 Pistachio Nut Ave Las Vegas NV 89115,4,2,1,Single Family Home,2009,3484,99900
3445 Del Marino Dr Las Vegas NV 89121,3,2,1,Condo/Townhome/Row Home/Co-Op,1792,1742,134000
8520 Wild Diamond Ave Las Vegas NV 89143,5,3,0,Single Family Home,3297,7405,325000
50 E Silverado Ranch Blvd Unit 101 Las Vegas NV 89183,2,2,0,Condo/Townhome/Row Home/Co-Op,964,,125000
6305 Miraloma St Las Vegas NV 89108,3,2,0,Single Family Home,1408,7840,154990
7730 Epico Way Las Vegas NV 89179,3,2,1,Single Family Home,1490,1742,184990
9457 S Las Vegas Bl Unit: 196 Las Vegas NV 89123,2,1,0,Condo/Townhome/Row Home/Co-Op,736,,39000
11393 Robbia Dr Las Vegas NV 89138,4,3,1,Single Family Home,3104,6098,599000
10116 Desert Wind Dr Las Vegas NV 89144,4,2,1,Single Family Home,1868,5227,239000
9008 Sawhill Pond St North Las Vegas NV 89131,5,4,0,Single Family Home,4015,13068,439000
2860 S Bronco St Las Vegas NV 89146,6,5,2,Single Family Home,6432,36590,1088888
2474 Evening Twilight Ave Henderson NV 89044,3,2,0,Single Family Home,1248,4791,140000
222 Karen Ave Unit 2707 Las Vegas NV 89109,2,2,0,Condo/Townhome/Row Home/Co-Op,1657,,645000
5144 Mineral Lake Dr Las Vegas NV 89122,3,2,0,Single Family Home,1225,3920,105000
3053 Casey Dr Unit: 201 Las Vegas NV 89120,1,1,0,Condo/Townhome/Row Home/Co-Op,697,1829,39900
4538 Rosedale Ave Las Vegas NV 89121,5,2,0,Single Family Home,1702,6098,106000
3471 Don Miguel Dr Las Vegas NV 89121,2,1,0,Condo/Townhome/Row Home/Co-Op,964,3920,79900
10150 Cedar Key Ave Unit 204 Las Vegas NV 89129,2,2,0,Condo/Townhome/Row Home/Co-Op,1110,,135000
2747 Paradise Rd Unit 3003 Las Vegas NV 89109,3,4,1,Condo/Townhome/Row Home/Co-Op,4007,,1590000
134 Tamarron Cliffs St Las Vegas NV 89148,4,3,1,Single Family Home,3470,6969,569900
2260 Martinique Ave Henderson NV 89044,5,4,1,Single Family Home,4486,9583,750000
44 E Serene Av Unit: 404 Las Vegas NV 89123,2,2,0,Condo/Townhome/Row Home/Co-Op,1134,,175100
10100 Stony Ridge Dr Las Vegas NV 89144,4,4,1,Single Family Home,4629,18295,1299000
6142 Wheat Penny Ave Las Vegas NV 89122,3,2,0,Single Family Home,1234,4356,179900
5919 Vizzi Ct Las Vegas NV 89131,4,3,1,Single Family Home,3763,9147,374000
4855 S Torrey Pines Dr Unit 203 Las Vegas NV 89103,2,2,0,Condo/Townhome/Row Home/Co-Op,942,,95000
8716 Castle Ridge Ave Las Vegas NV 89129,3,2,0,Single Family Home,2604,7840,348500
747 Canyon Crest Dr Las Vegas NV 89123,4,3,0,Single Family Home,3433,9583,360000
7805 Clarkdale Dr Unit 201 Las Vegas NV 89128,2,2,0,Condo/Townhome/Row Home/Co-Op,996,,94900
1827 Autumn Sage Ave Las Vegas NV 89031,4,2,0,Single Family Home,1977,6969,189900
5605 Estrella Mountain Ct Las Vegas NV 89122,3,2,0,Single Family Home,1528,6534,130500
712 Sarajane Ln Las Vegas NV 89107,3,2,0,Single Family Home,1325,3484,85000
5842 Swan Point Pl Las Vegas NV 89122,2,2,0,Single Family Home,1910,8276,239000
5759 Sandtrap Ct Las Vegas NV 89142,3,3,0,Single Family Home,1636,4356,146900
Las Vegas NV 89104,3,2,0,Single Family Home,1578,10019,169900
4730 E Craig Rd Unit 1169 North Las Vegas NV 89115,3,2,0,Condo/Townhome/Row Home/Co-Op,1181,,69900
3721 Geist Ave Las Vegas NV 89115,3,2,0,Single Family Home,1336,6534,92000
6641 Bubbling Brook Dr Unit: D Las Vegas NV 89107,3,1,1,Condo/Townhome/Row Home/Co-Op,968,1306,70000
3789 Carlyle Dr Apt 102 Las Vegas NV 89115,1,1,1,Condo/Townhome/Row Home/Co-Op,862,,38000
5164 Tunnel Falls Dr Las Vegas NV 89141,3,3,0,Single Family Home,1996,4356,259900
7601 Vanity Ct Las Vegas NV 89149,4,3,0,Single Family Home,2323,2613,155000
9009 Gentle Rain Way Las Vegas NV 89117,4,2,1,Single Family Home,3031,6098,349500
7168 Neches Ave Las Vegas NV 89179,3,2,1,Single Family Home,1831,2613,182000
2484 San Marcos St Las Vegas NV 89115,4,2,0,Single Family Home,1702,6098,123000
6341 W Washington Ave Las Vegas NV 89107,2,2,1,Condo/Townhome/Row Home/Co-Op,1258,871,35000
9147 Placer Bullion Ave Las Vegas NV 89178,5,3,0,Single Family Home,2552,4791,274999
4522 Lime Straight St Las Vegas NV 89115,3,2,1,Single Family Home,1762,3049,182995
7601 Rockhampton Ave Las Vegas NV 89113,3,2,0,Single Family Home,1944,4791,269900
3968 Danny Melamed Ave Unit 101 Las Vegas NV 89110,2,2,0,Condo/Townhome/Row Home/Co-Op,895,,33000
1648 Morse Arberry Ave Las Vegas NV 89106,4,2,0,Single Family Home,1548,3920,116000
3953 Danny Melamed Ave Unit 202 Las Vegas NV 89110,2,2,0,Condo/Townhome/Row Home/Co-Op,895,,47500
4461 Greenhill Dr Las Vegas NV 89121,5,2,0,Single Family Home,1786,8276,162300
Las Vegas NV 89128,3,2,1,Single Family Home,2339,4356,249900
6457 Adeline Ct Las Vegas NV 89110,3,2,1,Single Family Home,2387,7840,259000
6124 Rosalita Ave Las Vegas NV 89108,3,2,0,Single Family Home,1238,5227,135000
9209 Las Manaitas Ave Unit 202 Las Vegas NV 89144,3,2,1,Condo/Townhome/Row Home/Co-Op,2052,2700,599980
5154 S Jones Bl Unit: 206 Las Vegas NV 89118,1,1,0,Condo/Townhome/Row Home/Co-Op,668,,49900
7060 Big Springs Ct Las Vegas NV 89113,2,2,0,Condo/Townhome/Row Home/Co-Op,1173,3049,204500
4950 Reiter Ave Las Vegas NV 89108,4,3,0,Single Family Home,1736,20038,175000
4894 E Harmon Ave Las Vegas NV 89121,3,1,1,Single Family Home,1008,6534,120000
10753 Bernini Dr Las Vegas NV 89141,5,3,1,Single Family Home,5104,8276,538888
9405 Highview Rock Ct Las Vegas NV 89149,4,3,0,Single Family Home,1992,4791,229900
Las Vegas NV 89109,1,1,1,Condo/Townhome/Row Home/Co-Op,814,,249000
309 Covent Garden Ct Las Vegas NV 89145,3,3,1,Single Family Home,3435,11761,799000
4400 Sandy River Dr Unit 9 Las Vegas NV 89103,1,1,0,Condo/Townhome/Row Home/Co-Op,700,,68900
3661 Villa Knolls Sout Dr Las Vegas NV 89120,2,2,0,Condo/Townhome/Row Home/Co-Op,1012,1306,45000
7615 Red Turtle St Unit Lot 12 Las Vegas NV 89131,4,4,0,Single Family Home,3845,16988,470000
7923 Napier St Las Vegas NV 89131,4,2,1,Single Family Home,2184,3049,225000
4728 E Monroe Ave Las Vegas NV 89110,5,2,1,Single Family Home,2277,13068,105000
1690 Hardrock St Las Vegas NV 89156,4,5,1,Single Family Home,6183,28314,900000
3225 S Tioga Way Las Vegas NV 89117,7,6,1,Single Family Home,4442,23522,1290000
Robert Las Vegas NV 89131,5,4,1,Single Family Home; Ready to build,4019,130680,454950
8405 Lomack Ct Las Vegas NV 89145,3,2,0,Single Family Home,1214,4356,135000
3188 Via Seranova Henderson NV 89044,3,2,1,Condo/Townhome/Row Home/Co-Op,1574,1742,215995
The Cedar Las Vegas NV 89117,5,3,1,Single Family Home; Ready to build,3375,87120,384990
3908 Lazy Pine St Unit 101 Las Vegas NV 89108,2,2,0,Condo/Townhome/Row Home/Co-Op,1205,,74000
Plan 2438 Las Vegas NV 89135,3,2,1,Single Family Home; Ready to build,2438,87120,359990
3443 Marquette Dr Las Vegas NV 89115,2,2,0,Mfd/Mobile Home,960,6534,45000
1150 N Buffalo Dr Unit: 1109 Las Vegas NV 89128,1,1,0,Condo/Townhome/Row Home/Co-Op,722,914,60000
5608 Lost Tree Cir Las Vegas NV 89130,3,2,0,Single Family Home,1987,8276,256625
3320 Cactus Shadow St Unit 102 Las Vegas NV 89129,2,2,0,Condo/Townhome/Row Home/Co-Op,1242,,146000
8815 Roping Rodeo Ave Unit 102 Las Vegas NV 89178,2,2,1,Condo/Townhome/Row Home/Co-Op,1167,871,145000
200 W Sahara Ave Unit 3802 Las Vegas NV 89102,1,1,0,Condo/Townhome/Row Home/Co-Op,867,,311900
8192 Whiteriver Plateau Ln Las Vegas NV 89178,3,2,1,Single Family Home,1705,2178,195000
6128 Maverick St Las Vegas NV 89130,5,3,0,Single Family Home,4043,7840,289000
661 Newquay Ct Las Vegas NV 89178,5,2,1,Single Family Home,2532,4356,249950
1848 N Decatur Blvd Unit 204 Las Vegas NV 89108,2,2,0,Condo/Townhome/Row Home/Co-Op,945,,63000
8925 Ornate Glade Ave Las Vegas NV 89148,3,2,1,Single Family Home,1671,2178,166900
7900 Greycrest Ct # 9914 Las Vegas NV 89145,2,2,0,Condo/Townhome/Row Home/Co-Op,1266,,104900
7729 Spanish Bay Dr Las Vegas NV 89113,3,3,1,Single Family Home,3277,6098,635000
4421 E Baltimore Ave Las Vegas NV 89104,4,2,1,Single Family Home,1788,4791,135000
4495 Palisades Canyon Cir Las Vegas NV 89129,4,4,1,Single Family Home,4994,18295,699990
5620 Heron Ave Las Vegas NV 89107,3,2,0,Single Family Home,1218,6098,116500
9050 W Tropicana Av Unit: 1173 Las Vegas NV 89147,1,2,1,Condo/Townhome/Row Home/Co-Op,1466,,145000
9649 Meeks Bay Ave Las Vegas NV 89148,2,2,0,Condo/Townhome/Row Home/Co-Op,1305,3920,169900
5800 Wood Petal St Las Vegas NV 89130,5,2,1,Single Family Home,2510,4791,244900
2750 S Durango Dr Apt 1050 Las Vegas NV 89117,2,2,0,Condo/Townhome/Row Home/Co-Op,965,2395,89999
AUBURN Las Vegas NV 89148,5,3,1,Single Family Home; Ready to build,2540,87120,319990
8800 River Pines Ct Apt 101 Las Vegas NV 89117,2,2,0,Condo/Townhome/Row Home/Co-Op,1136,1132,104000
Las Vegas NV 89102,2,1,2,Condo/Townhome/Row Home/Co-Op,1086,1306,99888
Las Vegas NV 89103,2,2,0,Single Family Home,1342,6969,80000
7912 Verde Springs Dr Las Vegas NV 89128,3,2,1,Single Family Home,1709,4356,150000
2052 Lincoln Rd Las Vegas NV 89115,10,7,0,Single Family Home,4228,39204,365000
6868 Sky Pointe Dr Unit 1115 Las Vegas NV 89131,1,1,0,Condo/Townhome/Row Home/Co-Op,862,,85000
1830 N Pecos Rd Unit 150 North Las Vegas NV 89115,1,1,0,Condo/Townhome/Row Home/Co-Op,675,,36000
5813 Post Mountain St Las Vegas NV 89031,5,3,0,Single Family Home,2568,3920,194999
